"pxcor","pycor","pcolor","plabel","plabel-color"
"42","-33","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"43","-33","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"44","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"45","-33","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"46","-33","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"47","-33","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"48","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"49","-33","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"50","-33","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"51","-33","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"52","-33","[233.75 246.25 233.75]","""""","9.9"
"53","-33","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"54","-33","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"55","-33","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"56","-33","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"57","-33","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"58","-33","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"59","-33","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"60","-33","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"61","-33","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"62","-33","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"63","-33","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"64","-33","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-64","-34","[93.16482150039192 188.3619853236908 93.16482150039192]","""""","9.9"
"-63","-34","[73.4399204120025 180.2399672284716 73.4399204120025]","""""","9.9"
"-62","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"-61","-34","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"-60","-34","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-59","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-58","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-57","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-56","-34","[21.25 158.75 21.25]","""""","9.9"
"-55","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-54","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-53","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-52","-34","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-51","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-50","-34","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-49","-34","[44.63573259700212 168.3794193046479 44.63573259700212]","""""","9.9"
"-48","-34","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-47","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"-46","-34","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-45","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-44","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-43","-34","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-42","-34","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-41","-34","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-40","-34","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-39","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-38","-34","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-37","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-36","-34","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-35","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-34","-34","[148.75 211.25 148.75]","""""","9.9"
"-33","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-32","-34","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-31","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-30","-34","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-29","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-28","-34","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-27","-34","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-26","-34","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-25","-34","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-24","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-23","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"-22","-34","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"-21","-34","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-20","-34","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"-19","-34","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-18","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-17","-34","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-16","-34","[131.09227223453735 203.97917092010363 131.09227223453735]","""""","9.9"
"-15","-34","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"-14","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-13","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"-12","-34","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"-11","-34","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"-10","-34","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-9","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"-8","-34","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-7","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"-6","-34","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"-5","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"-4","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"-3","-34","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"-2","-34","[233.75 246.25 233.75]","""""","9.9"
"-1","-34","[224.94796179957171 242.62563132923543 224.94796179957171]","""""","9.9"
"0","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"1","-34","[187.80159972142195 227.3300704735267 187.80159972142195]","""""","9.9"
"2","-34","[167.38400545562473 218.92282577584547 167.38400545562473]","""""","9.9"
"3","-34","[146.64583533615334 210.38357925606314 146.64583533615334]","""""","9.9"
"4","-34","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"5","-34","[104.73980899785863 193.1281566461771 104.73980899785863]","""""","9.9"
"6","-34","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"7","-34","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"8","-34","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"9","-34","[20.28607838477072 158.35309109961148 20.28607838477072]","""""","9.9"
"10","-34","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"11","-34","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"12","-34","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"13","-34","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"14","-34","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"15","-34","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"16","-34","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"17","-34","[42.5 167.5 42.5]","""""","9.9"
"18","-34","[41.44014305118111 167.06358831519222 41.44014305118111]","""""","9.9"
"19","-34","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"20","-34","[33.1434866856508 163.64731804703268 33.1434866856508]","""""","9.9"
"21","-34","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"22","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"23","-34","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"24","-34","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"25","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"26","-34","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"27","-34","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"28","-34","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"29","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"30","-34","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"31","-34","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"32","-34","[63.75 176.25 63.75]","""""","9.9"
"33","-34","[62.57306581457988 175.7653800412976 62.57306581457988]","""""","9.9"
"34","-34","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"35","-34","[53.404799164265796 171.99021142058004 53.404799164265796]","""""","9.9"
"36","-34","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"37","-34","[36.21785950402622 164.91323626636375 36.21785950402622]","""""","9.9"
"38","-34","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"39","-34","[12.712722166433196 155.23465030382545 12.712722166433196]","""""","9.9"
"40","-34","[72.20058807534417 179.72965391337704 72.20058807534417]","""""","9.9"
"41","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"42","-34","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"43","-34","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"44","-34","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"45","-34","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"46","-34","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"47","-34","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"48","-34","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"49","-34","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"50","-34","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"51","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"52","-34","[212.5 237.5 212.5]","""""","9.9"
"53","-34","[207.48355547812946 235.43440519687684 207.48355547812946]","""""","9.9"
"54","-34","[194.89592359914346 230.25126265847084 194.89592359914346]","""""","9.9"
"55","-34","[178.38203539639022 223.4514263396901 178.38203539639022]","""""","9.9"
"56","-34","[159.96711095625892 215.86881039375368 159.96711095625892]","""""","9.9"
"57","-34","[140.56524784839178 207.8798079375731 140.56524784839178]","""""","9.9"
"58","-34","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"59","-34","[100.29766485278898 191.29903846879546 100.29766485278898]","""""","9.9"
"60","-34","[79.76801091124943 182.84565155169093 79.76801091124943]","""""","9.9"
"61","-34","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"62","-34","[38.29167067230668 165.7671585121263 38.29167067230668]","""""","9.9"
"63","-34","[17.41777739064733 157.1720259843842 17.41777739064733]","""""","9.9"
"64","-34","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-64","-35","[83.67702284865584 184.4552447023877 83.67702284865584]","""""","9.9"
"-63","-35","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-62","-35","[45.711771711832796 168.82249423428408 45.711771711832796]","""""","9.9"
"-61","-35","[26.130495696783584 160.75961587514618 26.130495696783584]","""""","9.9"
"-60","-35","[6.27512689720794 152.5838757812033 6.27512689720794]","""""","9.9"
"-59","-35","[64.93422191251787 176.73762078750735 64.93422191251787]","""""","9.9"
"-58","-35","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-57","-35","[42.5 167.5 42.5]","""""","9.9"
"-56","-35","[0 150 0]","""""","9.9"
"-55","-35","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-54","-35","[42.5 167.5 42.5]","""""","9.9"
"-53","-35","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-52","-35","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-51","-35","[54.52790094379719 172.4526650945047 54.52790094379719]","""""","9.9"
"-50","-35","[42.5 167.5 42.5]","""""","9.9"
"-49","-35","[29.10940147938871 161.9862241385718 29.10940147938871]","""""","9.9"
"-48","-35","[14.583694396573804 156.00505063388334 14.583694396573804]","""""","9.9"
"-47","-35","[148.75 211.25 148.75]","""""","9.9"
"-46","-35","[134.79184719828692 205.50252531694167 134.79184719828692]","""""","9.9"
"-45","-35","[118.93360995455197 198.97266292246258 118.93360995455197]","""""","9.9"
"-44","-35","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-43","-35","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-42","-35","[42.5 167.5 42.5]","""""","9.9"
"-41","-35","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-40","-35","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-39","-35","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-38","-35","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-37","-35","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-36","-35","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-35","-35","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-34","-35","[127.5 202.5 127.5]","""""","9.9"
"-33","-35","[125.74129623116283 201.77582785989057 125.74129623116283]","""""","9.9"
"-32","-35","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-31","-35","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-30","-35","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-29","-35","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-28","-35","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-27","-35","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-26","-35","[42.5 167.5 42.5]","""""","9.9"
"-25","-35","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-24","-35","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-23","-35","[7.184544469074723 152.95834184020725 7.184544469074723]","""""","9.9"
"-22","-35","[25.146106189170666 160.35427901907028 25.146106189170666]","""""","9.9"
"-21","-35","[42.5 167.5 42.5]","""""","9.9"
"-20","-35","[59.084680282526136 174.32898599868724 59.084680282526136]","""""","9.9"
"-19","-35","[74.6877707974304 180.75378797541254 74.6877707974304]","""""","9.9"
"-18","-35","[89.0321943869836 186.6603153358168 89.0321943869836]","""""","9.9"
"-17","-35","[101.76407079278044 191.9028526793802 101.76407079278044]","""""","9.9"
"-16","-35","[112.45066643438841 196.30321559063051 112.45066643438841]","""""","9.9"
"-15","-35","[120.60319944284387 199.66014094705335 120.60319944284387]","""""","9.9"
"-14","-35","[0 150 0]","""""","9.9"
"-13","-35","[21.25 158.75 21.25]","""""","9.9"
"-12","-35","[42.5 167.5 42.5]","""""","9.9"
"-11","-35","[63.75 176.25 63.75]","""""","9.9"
"-10","-35","[85 185 85]","""""","9.9"
"-9","-35","[106.25 193.75 106.25]","""""","9.9"
"-8","-35","[127.5 202.5 127.5]","""""","9.9"
"-7","-35","[148.75 211.25 148.75]","""""","9.9"
